Original_Dialect,MSA_conversion
تصويت مجلس النواب على مرشحي الوزارات المتبقية انجاز وطني مشترك للسلطتين التشريعية والتنفيذية، ما يضع الحكومة امام تحدي إيجاد الحلول المناسبة لمواجهة التحديات الصحية والاقتصادية والامنية وتلبية المطالب المشروعة للمتظاهرين وإكمال اجراءات الانتخابات المبكرة,تصويت مجلس النواب على المرشحين المتبقين إنجاز وطني مشترك للسلطتين التشريعية والتنفيذية، مما يضع الحكومة أمام تحدي إيجاد الحلول المناسبة لمواجهة التحديات الصحية والاقتصادية والأمنية، وتلبية مطالب المتظاهرين المشروعة، وإكمال إجراءات الانتخابات المبكرة.
مساء النور والسرور جمعة مباركة,مساء النور والسرور. جمعة مباركة.
الحكومة تعتزم ارسال مشروع الموازنة الى البرلمان خلال اسبوعين,تعتزم الحكومة إرسال مشروع الموازنة إلى البرلمان خلال أسبوعين.
كن بأخلاقك باقة ورد,كن بأخلاقك باقة ورد.
أنا بنت العراق الأبية أنا هي الشامخة العراقية أنا بنت بغداد والناصرية أنا بنت الموصل والبصرة والفلوجة الأبية أنا في قلبي بغدادية وفي روحي بصراوية وفي شجاعتي فلوجية أنا بنت العراق الأبية أنا بنت أشور والحضارة السومرية,أنا بنت العراق الشامخة. أنا بنت بغداد والناصرية. أنا بنت الموصل والبصرة والفلوجة. أنا في قلبي بغدادية، وفي روحي بصراوية، وفي شجاعتي فلوجية. أنا بنت العراق الأبية، أنا بنت أشور والحضارة السومرية.
تصاميم لكمامات تحتوي على رسوماً مستوحاة من حضارة وادي الرافدين,تصاميم لكمامات تحتوي على رسوما مستوحاة من حضارة وادي الرافدين.
"أنخيدو أنّا، اسمها الكاهنة العليا زينة السماء"" أول شاعرة في التاريخ وهي ابنة الملك سرجون الأكدي ، وتعد واحدة من أعظم شاعرات العالم القديم ، وقد كتبت نصوصها باللغة السومرية ، ورفعت تأليفاتها من شأن معرفة النساء للقراءة في بلاد ما بين النهرين القديم",أنخيدو أنّا، ابنة الملك سرجون الأكدي، وهي أول شاعرة في التاريخ، وأحد أعظم شاعرات العالم القديم. كتبت نصوصها باللغة السومرية، ورفعت من شأن معرفة القراءة لدى النساء في بلاد ما بين النهرين القديم.
"راقصة الباليه "" آية الفارس "" في وسط بغداد ترمز الى الانسانية و الثقافة","راقصة الباليه ""آية الفارس"" في وسط بغداد ترمز إلى الإنسانية والثقافة."
أهل العراق أحباب وأهل وهم يعرفون أين منبع الجمال,أهل العراق أحباب وأهل، وهم يعرفون منبع الجمال.
فأنتم من شربتم من دجلة والفرات أنتم أهل الفن والثّقافة والحضارة الرّائعة ليتها تعود,أنتم من شربتم من دجلة والفرات. أنتم أهل الفن والثقافة والحضارة الرائعة. ليتها تعود.
شكراً لك ولحضورك الجميل في كلّ مرة,شكرا لك ولحضورك الجميل في كل مرة.
اختيار جميل وكان عندي معلومه عن الفن ما ادري عن مدى صحتها تقول ( الفن ولد في اليمن ونشاء وترعرع في الخليج ورقص في مصر وضحك في لبنان وبكى في العراق ومات في السودان) مع حبي واحترامي للسودانيين ... بس هذه المقولة سمعتها من زمان,"اختيار جميل. لدي معلومة عن الفن، لا أدري إن كانت صحيحة أم لا. تقول: ""الفن ولد في اليمن، ونشأ وترعرع في الخليج، ورقص في مصر، وضحك في لبنان، وبكى في العراق، ومات في السودان"". مع حبي واحترامي للسودانيين... لكنني سمعت هذه المقولة منذ زمن."
الحياة بها الكثير من المتناقضات هناك من يستغل الدين لمصلحه وهناك من يستغل الفن لمصالحه وهناك الكثير من المتناقضات في المجتمع وكذلك لا نستطيع أن نحكم على الكل من خلال البعض تحياتي,الحياة مليئة بالمتناقضات. هناك من يستغل الدين لمصلحته، وهناك من يستغل الفن لمصلحته. هناك الكثير من المتناقضات في المجتمع. لا نستطيع أن نحكم على الجميع من خلال البعض. تحياتي.
ملكة بمعنى الكلمة دخلت الفن وتربعت على عرشه كما تربعت على عرش ملكة جمال لبنان واليوم النفوس الضعيفة تحاربها لا لشيء سوى لانها ناجحة ومحبوبة جماهيريا فقط الف تحية حب واحترام نادين في قلوب محبيك هذا عرشك وكفى كلام لأنها الأولى تبقى,ملكة بمعنى الكلمة. دخلت الفن وتربعت على عرشه، كما تربعت على عرش ملكة جمال لبنان. واليوم، تحاربها النفوس الضعيفة، لا لشيء، سوى لأنها ناجحة ومحبوبة جماهيريا. فقط، ألف تحية حب واحترام. نادين في قلوب محبيك. هذا عرشك. لا داعي للمزيد من الكلام، لأنها الأولى.
كاظم الساهر من أجمل ماانجب الفن العراقي حب كبير لصوته واحساسه,كاظم الساهر من أجمل ما أنجب الفن العراقي. حب كبير لصوته وإحساسه.
مجلة نسائية صدرت في عهد الملك فيصل الاول في تشرين عام 1923 لصاحبتهاالصحفية بولينا حسون الزهاوي تعتبر تعزيزا لنهضة المرأة العراقية الادبية وهي مجلة تبحث في كل ماهو جديد ومفيد ومايتعلق بأمور الفن والادب والشعر والعلوم,مجلة نسائية صدرت في عهد الملك فيصل الأول في تشرين عام 1923، لصاحبتها الصحفية بولينا حسون الزهاوي. تعتبر تعزيزا لنهضة المرأة العراقية الأدبية، وهي مجلة تبحث في كل ما هو جديد ومفيد، وما يتعلق بأمور الفن والأدب والشعر والعلوم.
عملاق الفن العربي الفنان الكبير بهجت الجبوري,عملاق الفن العربي، الفنان الكبير بهجت الجبوري.
"راقصة الباليه "" آية الفارس "" في وسط بغداد ترمز الى الانسانية و الثقافة","راقصة الباليه ""آية الفارس"" في وسط بغداد ترمز إلى الإنسانية والثقافة."
قول لي يا حلو منين الله جابك,قول لي يا حلو، من أين أتى بك الله؟
ثوارنا لم يسرقوا..لم يخربوا!!لقد جعلوا..التحرير جنة العراق..لقد نشروا الكتب ونشروا..الشموع والنشرات الضوئية..لقد..نشروا نور الثقافة والوعي..نشروا جميع انواع الفنون,لم يسرق الثوار، ولم يخربوا! جعلوا التحرير جنة العراق. نشروا الكتب والشموع والنشرات الضوئية. نشروا نور الثقافة والوعي. نشروا جميع أنواع الفنون.
بالبال ليلة من ليالي العراق الطربية والتي ضمت صفوة الصفوة من نجوم الفن العراقي,بالبال ليلة من ليالي العراق الطربية، والتي ضمت صفوة نجوم الفن العراقي.
گاعد تشوفون كمية الفن الي عندنا اني گاعد اغار من الرسامين,أنظر إلى كمية الفن لدينا. أنا أغار من الرسامين.
ما شاء الله عليهم حق المواويل مافي أحسن منهم,ما شاء الله عليهم، هم الأفضل في المواويل.
وموبعيدة على فنانين العراق من أن يبدعون بهذا الفن,ولن يبتعد فنانو العراق عن هذا الفن.
الفن العراقي متنوع، وكل محافظة الها خصوصية جميلة..,الفن العراقي متنوع، ولكل محافظة خصوصيتها الجميلة.
يمتاز جميع مطربي ومطربات العراق بإتقانهم لاداء (الموّال) حيث يعتبر من صلب الفن العراقي وقلما  تخلو  اغنية من ترديد الموال والتفنن فيه,يتميز جميع مطربي ومطربات العراق بإتقانهم لأداء الموال، حيث يعتبر من صلب الفن العراقي. نادرا ما تخلو أغنية من الموال والتفنن فيه.
"سعدون جابر ..اسم كبير في تاريخ الفن العراقي ... قدّم  في الثمانينات اغاني رائعه مع الملحن العراقي الكبير ""طالب القرغولي"" والشاعر زهير الدجيلي","سعدون جابر... اسم كبير في تاريخ الفن العراقي. قدم في الثمانينات أغاني رائعة مع الملحن العراقي الكبير ""طالب القرغولي"" والشاعر زهير الدجيلي."
طوال 3 سنوات استخدم العراقي مخلد حبيب الفن لإبراز مشاكل الناس اليومية ونقل همومهم وقضاياهم,طوال 3 سنوات، استخدم العراقي مخلد حبيب الفن لإبراز مشاكل الناس اليومية ونقل همومهم وقضاياهم.
يبتكر عالماً جديداً من خلال لوحات يدمج فيها صوراً حزينة برسوم كارتون ممتعة تعيد إليها الفرحة.,يبتكر عالما جديدا من خلال لوحات يدمج فيها صورا حزينة برسوم كارتون ممتعة تعيد إليها الفرحة.
اعمل لهدف وليس لتقدير الآخرين وإعجابهم.,اعمل من أجل هدف، وليس من أجل تقدير الآخرين وإعجابهم.
وعش حياتك كما أنت دون تكلف لإثارة إعجاب الآخرين .,عش حياتك كما أنت، دون تكلف لإثارة إعجاب الآخرين.
كن أنت واصنع ذاتك بنفسك لا بتقليد الآخرين.,كن أنت، واصنع ذاتك بنفسك، لا بتقليد الآخرين.
امنياتي بالشفاء العاجل الى الحكم الدولي، مهند قاسم، بعد اصابته بفايروس كورونا,أتمنى الشفاء العاجل للحكم الدولي مهند قاسم، بعد إصابته بفيروس كورونا.
كنت زميلي في الملعب لسنوات طويلة,كنت زميلي في الملعب لسنوات طويلة.
يام العيون السود ما جوزن أنا,يا أم العيون السوداء، لا يجوز أنا.
خدج القيمر أنا أتريق منه,أتناول القيمر في الفطور.
المرأة الرائعة هي البسيطة العفوية المرحة الذكية ، هي من يكفي أن تنظر إليها فقط لتستشعر من روحها الجمال و السعادة,المرأة الرائعة هي البسيطة والعفوية والمرحة والذكية. يكفي أن تنظر إليها فقط لتستشعر من روحها الجمال والسعادة.
انتي اصل الجمال,أنت أصل الجمال.
نورتي حبيبتي,أضاء وجودك المكان، يا حبيبتي.
اتخبلين كمر اموت عليج,أنت رائعة، يا جميلة.
من باطنها وفكرها يصب في طاعة الله سيأتي يوم من الايام ويطابق ظاهرها باطنها، قلبك طيب وكلماتك أطيب وربما خانه التعبير فالسافرة يقبل الله صومها ولا تقضيه عند لبس الحجاب وفقك الله وحفظك بحق محمد وآل محمد,من باطنها وفكرها، تصب في طاعة الله. سيأتي يوم من الأيام، ويطابق ظاهرها باطنها. قلبك طيب، وكلماتك أطيب. ربما خانه التعبير. السافرة يقبل الله صومها، ولا تقضيه عند لبس الحجاب. وفقك الله وحفظك بحق محمد وآل محمد.
جميلة و باطنها اجمل و اطيب ست سعاد الغالية زعلج ما يهون علينا وكهاشمي اني اعتذر نيابة عن هذا الشخص.. انت انسانة عزيزة ومحترمة,جميلة، وباطنها أجمل وأطيب. ست سعاد الغالية، زعلك لا يهون علينا. وكهاشمي، أنا أعتذر نيابة عن هذا الشخص. أنت إنسانة عزيزة ومحترمة.
دكتور استمري مالج شغل بالحثالة متبرجة بس انتي أشرف من هواي ناس يكرهون الحق و كارهين لولاية علي بارك الله فيكي دكتورة اني افتخر بيج ومتابع قديم الج وداعم الك,دكتورة، استمري. لا تهتمي بالحثالة. أنت أشرف من الكثير من الناس الذين يكرهون الحق، ويكرهون ولاية علي. بارك الله فيك. أنا أفتخر بك، وأنا متابع قديم لك.
الله يشهد أننا لم نرى منك إلا كل احترام ومحبة وخلق وثقافة وجوهر طاهر وكل شي حسن. بالنسبة للعبادة ان كانت صلاة ام حجاب فهي لله والله وحده له الحكم في ذلك على الناس. أعلم أن كلامه آذاك لكن تجاوزي كما يتجاوز الأمين على الدماء مصائب القوم عند الصباح,الله يشهد أننا لم نرى منك إلا كل احترام ومحبة وخلق وثقافة وجوهر طاهر. بالنسبة للعبادة، إن كانت صلاة أم حجاب، فهي لله، والله وحده له الحكم في ذلك على الناس. أعلم أن كلامه آذاك، لكن تجاوزي كما يتجاوز الأمين على الدماء مصائب القوم عند الصباح.
ياغالي ياحسيني,يا غالي يا حسيني.
يا ريت بعض الناس تدع الخلق للخالق و ينشغلوا بما هم فيه يكون افضل لهم,يا ريت بعض الناس تدع الخلق للخالق، وتنشغل بما هي فيه. يكون أفضل لها.
اول شيء سيدنا العزيز المرأة بعظمة لسانها تكول اني سنية وادعم المقاومة الشيعية في كل مكان والمفروض احنا نفخر بيها مو نهبط من عزيمتها وثاني شيء لا يزكي الانفس الا الله استمري دكتورة احنا كلنا اخوانج ان شاءالله,أولا، سيدتنا العزيزة، المرأة بلسانها تقول إني سنية، وأدعم المقاومة الشيعية في كل مكان. المفروض أن نفخر بها، لا أن نهبط من عزيمتها. ثانيا، لا يزكي الأنفس إلا الله. استمري يا دكتورة. نحن جميعا إخوتك إن شاء الله.
حاشاج دكتورة اولاد رسول الله ص ميمثلهم بعض الالسن البسيطة والسطحية,حاشاج دكتورة، أولاد رسول الله صلى الله عليه وسلم لا يمثلهم بعض الألسن البسيطة والسطحية.
معليج منهم اختي,لا تهتمي منهم يا أختي.
دكتوره اكيد يعني السيد من باب النصيحه كركديهقال هاذه الكلام,دكتورة، أكيد السيد من باب النصيحة قال هذا الكلام.
معدنج جيد وجوهرج ممتاز! الله معنج دكتورة، لج مني كل الإحترام والتقدير,معدنك جيد، وجوهرك ممتاز! الله معك يا دكتورة. لك مني كل الاحترام والتقدير.
اني و اخوي فديته وجه مبتسم ذو عيون على شكل قلوبقلب بنفسجي,أنا وأخي، فديته. وجه مبتسم ذو عيون على شكل قلوب.
العظماء لا يحقدون مهما أساء لهم الآخرون الحقد طبيعة النفوس الضعيفة لأنها لا تستطيع التغلب على مشاعرها السلبية,العظماء لا يحقدون، مهما أساء لهم الآخرون. الحقد طبيعة النفوس الضعيفة، لأنها لا تستطيع التغلب على مشاعرها السلبية.
لا تتوقع الأسوأ مهما حدث. فكل شيء سيصبح افضل حتماً بإذن الله. فقط كن على يقين بذلك,لا تتوقع الأسوأ، مهما حدث. سيكون كل شيء أفضل، بإذن الله. فقط، كن على يقين بذلك.
هل تشعر بكل هذا الحزن الذي في قلبك .. هناك سعادة بقدره .. سعادة تسكنك أنت .. تعلّم كيف تبحث عنها .. ستجدها,هل تشعر بكل هذا الحزن في قلبك؟ هناك سعادة بقدره. سعادة تسكنك أنت. تعلم كيف تبحث عنها. ستجدها.
انتي ذهب ومن يطعن في سمعتك هو الخاسر,أنت ذهب، ومن يطعن في سمعتك هو الخاسر.
شيكون مثلج وانتي مرسومه رسامة,من سيكون مثلك، وأنت رسامة؟
تشرفنا بزياره الامام موسى الكاظم ع ودعينا للكل بالموفقيه وراحه البال,تشرفنا بزيارة الإمام موسى الكاظم، ودعونا للجميع بالموفقية وراحة البال.
في الخلوة مع الله لن تُصاب بالإحراج لو دمعت عينك ، أو تلعثمت كلماتك فالضعف والإنذلال بين يدي الله قوّة وعِزة,في الخلوة مع الله، لن تصاب بالإحراج إن دمعت عينك، أو تلعثمت كلماتك. الضعف والإنذلال بين يدي الله قوة وعزة.
عاشت ايدك ابو مزيعيل الورد وان شاء الله ما نقصر وياهم ذولة احبابنه وواجب علينه نكون سند اله,عاشت يدك يا أبو مزيعيل. إن شاء الله، لن نقصر معهم. هم أحبابنا، وواجبنا أن نساعدهم.
ان شاء الله يتعدل الحال الموسم القادم,إن شاء الله، يتعدل الحال في الموسم القادم.
أدري خدود لـو گـيم,أدري خدود لو جيم.
ورده شيماء خو ماطلعتي خارج العراق,وردة شيماء، هل خرجت خارج العراق؟
كل عام وانتم بخير,كل عام وأنتم بخير.
الشيء الوحيد الذي يطمئنني هو أنني أعرف من أنا، أعرف جيدًا أن قلبي لا يضُرّ أحدًا، وأني لا أدعو حتى على أعدائي، ولا يهمني أي شيءٍ مملوك ولا أسعى نحو الأشخاص الذين هربوا مني، لدي عزّة نفس تكفيني لو اضطررت أن أعيش كل حياتي حزيناً دون أن أتسوّل الفرحة ممّن يستكثرونها عليّ، هذا أنا,الشيء الوحيد الذي يطمئنني هو أنني أعرف من أنا. أعرف جيدا أن قلبي لا يضر أحدا، وأني لا أدعو حتى على أعدائي. لا يهمني أي شيء مملوك، ولا أسعى نحو الأشخاص الذين هربوا مني. لدي عزة نفس تكفيني، لو اضطررت أن أعيش حزينا طوال حياتي، دون أن أتسول الفرحة ممن يستكثرونها علي. هذا أنا.
نصائح لتفادي انتقال الامراض المعدية والفيروسات,نصائح لتفادي انتقال الأمراض المعدية والفيروسات.
الله حق والعراق على حق والشعب صاحب حق,الله حق، والعراق على حق، والشعب صاحب حق.
عاشرو الناس عشرةإن غبتم حنو اليكم وإن فقتم بكوا عليكم,عاشروا الناس معاشرة، إن غبتم حنوا إليكم، وإن فقتم بكوا عليكم.
لو كانت الدنيا سهلة ميسرة لما كان “الصبر” أحد أبواب الجنّة .,لو كانت الدنيا سهلة ميسرة، لما كان الصبر أحد أبواب الجنة.
قيل لأحد الصالحين: ما هو الصبر الجميل؟ قال: أن تُبتلى و قلبك يقول الحمدلله,قيل لأحد الصالحين: ما هو الصبر الجميل؟ قال: أن تبتلى وقلبك يقول الحمد لله.
"من حمل الناس على المحامل الطيبة وأحسن الظن بهم سلمت نيته وانشرح صدره وعوفي قلبه وحفظه الله من السوء والمكاره""",من حمل الناس على المحامل الطيبة، وأحسن الظن بهم، سلمت نيته، وانشرح صدره، وعوفي قلبه، وحفظه الله من السوء والمكاره.
عضيت انت ايدي . أمسح دمعتك بيش وكليبي كسرته بيش ألوليلك أضحكك وأبجي لأجلك وأعطش وأرويك وأهدم حيلي بيدي لو ركد حيلي,عضيت أنت يدي. أمسح دمعتك بيدي، ومن يكسر قلبك؟ أضحكك وأبكي لأجلك، وأعطش وأرويك، وأهدم حيلي بيدي، لو ركد حيلي.
تُعدُّ القُدرة على التفكير السليم أبرزَ ما يتميَّز به الإنسان، فهو مِفتاح النمو العقلي والسلوكي، والصحة النفسية، وهو أساس الإبداع والابتكار، فاكتسابك له،وتدربُك على مهاراته،ضرورية بالنسبة لك، إن كنت تريد أن تنموَ وتتطور، حتى تتمكَّنَ من تحسين وضعِك، وتجاوز مشكلاتك،وسدِّ الفجوة بين واقعك وغاياتك.,تعد القدرة على التفكير السليم أبرز ما يتميز به الإنسان. فهو مفتاح النمو العقلي والسلوكي، والصحة النفسية، وهو أساس الإبداع والابتكار. اكتسابك له، وتدربك على مهاراته، ضرورية بالنسبة لك، إن كنت تريد أن تنمو وتتطور، حتى تتمكن من تحسين وضعك، وتجاوز مشكلاتك، وسد الفجوة بين واقعك وغاياتك.
اللهم إني أصبحت أشهدك، وأشهد حملة عرشك، وملائكتك، وجميع خلقك، أنك أنت الله لا إله إلا أنت وحدك لا شريك لك، وأن محمدا عبدك ورسولك ..,اللهم إني أصبحت أشهدك، وأشهد حملة عرشك، وملائكتك، وجميع خلقك، أنك أنت الله لا إله إلا أنت وحدك لا شريك لك، وأن محمدا عبدك ورسولك.
أعظم النعم في الحياة راحة البال ، إن شعرت بها فأنت تملك كل شيء,أعظم النعم في الحياة راحة البال. إن شعرت بها، فأنت تملك كل شيء.
أمران يحددان شخصيتك، صبرك حين لا تملك شيئاً، وتصرفاتك حين تملك كل شيء,أمران يحددان شخصيتك: صبرك حين لا تملك شيئا، وتصرفاتك حين تملك كل شيء.
اهـنئ اخواني واصدقائي بمناسبة حلول عيد نوروز ورأس السنة الكوردية سنة سعيدة وكل عام وانتم بالف خير.,أهنئ إخواني وأصدقائي بمناسبة حلول عيد نوروز ورأس السنة الكوردية. سنة سعيدة، وكل عام وأنتم بالف خير.
يارب انزل لنا في هذا اليوم المبارك شفاءك ورضاك وخير رزقك علينا وعلى امة المسلمين يارب العالمين,يارب، أنزل لنا في هذا اليوم المبارك شفاءك ورضاك وخير رزقك علينا وعلى أمة المسلمين يا رب العالمين.
عندما تعيش الطيور، فهي تأكل النمل وعندما تموت الطيور، فإن النمل يأكلها .. الظروف قد تتغير في لحظه، فلا تقلل من شأن أحد فربما تكون قوياً اليوم ولكن تذكر بأن الزمن أقوى مِنك,عندما تعيش الطيور، تأكل النمل. وعندما تموت الطيور، يأكلها النمل. الظروف قد تتغير في لحظة، فلا تقلل من شأن أحد. ربما تكون قويا اليوم، لكن تذكر أن الزمن أقوى منك.
"إذا أردت النجاح في الحياة اجعل من المثابرة صديقك الحميم , ومن الخبرة مستشارك الخاص , ومن الحذر أخاك الأكبر , ومن الأمل حارسك العبقري","إذا أردت النجاح في الحياة، اجعل من المثابرة صديقك الحميم، ومن الخبرة مستشارك الخاص، ومن الحذر أخاك, ومن الأمل حارسك العبقري"
حين يتعمد الاخرين فهمك بطريقة خاطئة لاترهق نفسك بالتبرير، فقط ادر ظهرك واستمتع بالحياة.,عندما يتعمد الآخرون فهمك بطريقة خاطئة، لا ترهق نفسك بالتبرير، فقط أدر لهم ظهرك واستمتع بحياتك.
